City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
233,ulsteinvik,62.3432,5.8487,5.42,65,7,3.13,NO,1683177025
234,chonchi,-42.6128,-73.8092,10.07,95,97,0.88,CL,1683177026
235,la passe,45.5549,-0.8967,17.13,94,79,5.04,FR,1683177026
236,talara,-4.5772,-81.2719,25.2,80,82,5.99,PE,1683177026
237,madang,-5.2246,145.7966,29.77,70,100,2.06,PG,1683177026
238,piacabucu,-10.4056,-36.4344,24.5,88,10,2.4,BR,1683177026
239,omdurman,15.6445,32.4777,28.67,8,45,5.92,SD,1683177027
240,sivrice,38.4482,39.3084,9.56,50,0,0.51,TR,1683177027
241,salinopolis,-0.6136,-47.3561,24.92,94,98,6.39,BR,1683177027
242,labrador city,52.9463,-66.9114,3.49,92,100,3.83,CA,1683176919
243,maragogi,-9.0122,-35.2225,24.67,88,42,1.83,BR,1683177027
244,chifeng,42.2683,118.9636,24.51,30,87,6.63,CN,1683177028
245,lensk,60.7253,114.9278,6.45,60,64,5.85,RU,1683177028
246,tuzha,57.6062,47.936,8.2,88,100,3.32,RU,1683177028
247,puerto maldonado,-12.6,-69.1833,23.63,94,93,0.75,PE,1683177028
248,sept-iles,50.2001,-66.3821,6.14,90,100,0.89,CA,1683177028
249,chengam,12.3,78.8,27.22,72,100,0.95,IN,1683177028
250,nabire,-3.3667,135.4833,30.09,70,38,2.68,ID,1683177029
251,sola,-13.8833,167.55,27.96,75,40,7.18,VU,1683177029
252,antsiranana,-12.2787,49.2917,26.74,67,29,7.0,MG,1683177029
253,buka,40.8108,69.1986,16.95,23,25,3.58,UZ,1683177029
254,coronel dorrego,-38.7187,-61.2873,13.15,35,8,8.01,AR,1683177029
255,sabang,5.8933,95.3214,28.87,70,87,1.31,ID,1683177030
256,port saint john's,-31.6229,29.5448,18.03,87,0,2.14,ZA,1683177030
257,twon-brass,4.3151,6.2418,27.89,78,24,3.6,NG,1683177030
258,iskateley,67.6803,53.1512,0.49,99,100,4.39,RU,1683177030
259,mongoumba,3.6415,18.5936,20.61,96,100,0.46,CF,1683177030
260,fasa,28.9383,53.6482,22.58,17,0,3.09,IR,1683177031
261,dunedin,-45.8742,170.5036,14.33,98,13,0.89,NZ,1683177031
262,tyukalinsk,55.8732,72.1967,17.19,26,61,6.39,RU,1683177031
263,burang,30.25,81.1667,1.93,86,97,3.57,CN,1683177031
264,greymouth,-42.4667,171.2,16.28,90,5,2.79,NZ,1683176962
265,nova sintra,14.8667,-24.7167,21.22,77,68,6.87,CV,1683177031
266,ambon,-3.6954,128.1814,29.42,95,40,2.57,ID,1683177026
267,taksimo,56.3444,114.8794,6.8,40,100,2.9,RU,1683177032
268,kingston,17.997,-76.7936,25.13,91,94,1.04,JM,1683177032
269,sisimiut,66.9395,-53.6735,0.59,96,100,5.37,GL,1683177032
270,sinabang,2.4803,96.3801,27.86,80,98,1.92,ID,1683177032
271,aweil,8.7682,27.4002,27.69,54,100,1.84,SS,1683177033
272,tibana,46.9833,27.3333,11.97,68,100,3.41,RO,1683177033
273,concepcion del oro,24.6333,-101.4167,17.79,41,94,2.49,MX,1683177033
274,yuncheng,35.0231,110.9928,17.89,93,100,1.78,CN,1683177033
275,newman,37.3138,-121.0208,12.79,89,100,0.89,US,1683176963
276,kavieng,-2.5744,150.7967,29.11,71,46,3.34,PG,1683177033
277,acarau,-2.8856,-40.12,25.1,88,81,4.04,BR,1683176821
278,labasa,-16.4167,179.3833,26.25,82,26,4.82,FJ,1683177034
279,cullinan,-25.6709,28.5236,16.01,80,38,1.86,ZA,1683177034
280,minas de marcona,-15.2119,-75.1103,14.79,86,55,6.07,PE,1683177034
281,lospalos,-8.5186,127.0025,26.85,72,43,5.14,TL,1683177034
282,alaghsas,17.0187,8.0168,27.21,15,6,3.58,NE,1683177036
283,halberstadt,51.9,11.05,8.82,85,84,1.5,DE,1683177037
284,kayangel,8.0823,134.7173,28.86,73,100,5.35,PW,1683177037
285,aasiaat,68.7098,-52.8699,0.05,98,100,5.73,GL,1683177037
286,malango,-2.9627,119.9001,29.26,60,69,1.82,ID,1683177037
287,san fernando de apure,7.8878,-67.4724,28.2,50,17,1.73,VE,1683177037
288,usinsk,65.9939,57.5281,2.26,98,100,8.34,RU,1683177037
289,es castell,39.8795,4.2854,15.38,94,0,2.57,ES,1683177038
290,lompoc,34.6391,-120.4579,10.89,78,100,7.15,US,1683177038
291,formosa,-26.1775,-58.1781,16.09,98,100,0.89,AR,1683177038
292,kayes,14.0,-11.0,32.56,27,50,2.29,ML,1683177038
293,asaita,11.5636,41.4394,31.08,52,94,3.62,ET,1683177038
294,prince rupert,54.3161,-130.3201,7.53,87,95,1.64,CA,1683177038
295,ndende,-2.4008,11.3581,23.17,99,100,0.55,GA,1683177039
296,santa rosalia,27.3167,-112.2833,17.61,58,98,2.99,MX,1683177039
297,tofol,5.3248,163.0078,28.08,75,100,1.43,FM,1683177039
298,daru,-9.0763,143.2092,29.07,74,62,5.37,PG,1683177039
299,hirara,24.8,125.2833,25.15,88,69,6.86,JP,1683177039
300,portland,45.5234,-122.6762,17.64,77,100,2.24,US,1683176840
301,bakchar,57.0186,82.0711,13.12,36,100,2.03,RU,1683177040
302,zavolzhsk,57.4823,42.1378,7.4,64,21,2.1,RU,1683177040
303,dryden,49.7833,-92.7503,5.92,96,28,3.31,CA,1683177040
304,tomatlan,19.9333,-105.25,22.59,62,100,0.52,MX,1683177040
305,santa ana,33.7456,-117.8678,15.13,76,75,2.57,US,1683177040
306,turpan,42.9333,89.1667,16.28,31,100,2.39,CN,1683177040
307,orimattila,60.8049,25.7296,0.73,67,7,3.92,FI,1683177041
308,nazca,-14.8333,-74.95,20.65,74,5,1.88,PE,1683177041
309,linxia chengguanzhen,35.6003,103.2064,15.74,27,89,2.53,CN,1683177041
310,guateque,5.0062,-73.4727,14.88,95,84,1.07,CO,1683177041
311,el granada,37.5027,-122.4694,12.14,92,100,4.63,US,1683176955
312,lichinga,-13.3128,35.2406,15.05,82,40,5.14,MZ,1683177041
313,taro,-8.3862,115.28,27.0,60,46,1.7,ID,1683177042
314,kuqa,41.7278,82.9364,12.65,26,89,3.97,CN,1683177042
315,yichun,47.7,128.9,16.12,12,89,7.15,CN,1683177042
316,moree,-29.4667,149.85,21.82,23,0,5.35,AU,1683177042
317,coquimbo,-29.9533,-71.3436,10.85,93,75,2.57,CL,1683177030
318,grayvoron,50.4767,35.6773,12.52,74,100,3.05,RU,1683177042
319,vkhodnoy,54.9518,73.1711,15.94,17,0,7.15,RU,1683177043
320,tazacorte,28.629,-17.9293,19.54,78,75,3.58,ES,1683177043
321,fisterra,42.9049,-9.2629,15.57,90,2,7.75,ES,1683177043
322,taupo,-38.6833,176.0833,15.23,93,100,3.53,NZ,1683177043
323,budesti,44.2347,26.4658,11.45,96,100,4.77,RO,1683177043
324,shimokizukuri,40.8061,140.3861,21.96,47,65,5.94,JP,1683177043
325,luderitz,-26.6481,15.1594,13.44,69,10,4.65,NA,1683177044
326,kapa'a,22.0752,-159.319,26.99,80,75,7.72,US,1683177044
327,lorengau,-2.0226,147.2712,28.54,78,83,1.91,PG,1683177044
328,paradip garh,20.3167,86.6167,27.78,69,100,3.43,IN,1683177044
329,lijiang,26.8688,100.2207,23.04,30,22,4.3,CN,1683177044
330,margate,51.3813,1.3862,11.06,82,100,1.34,GB,1683176787
331,tshabong,-26.05,22.45,20.3,46,96,4.69,BW,1683177044
332,christiana,-27.914,25.1611,15.13,52,75,3.92,ZA,1683177045
333,horta,38.5333,-28.6333,16.68,94,79,7.15,PT,1683177045
334,ancud,-41.8697,-73.8203,8.9,92,83,0.7,CL,1683177045
335,pisco,-13.7,-76.2167,20.03,83,20,4.12,PE,1683177045
336,ixtapa,20.7,-105.2,24.01,88,75,0.0,MX,1683176995
337,shanghai,31.2222,121.4581,29.92,66,0,5.0,CN,1683176802
338,tidjikja,18.5564,-11.4271,28.52,8,7,6.21,MR,1683177046
339,wagar,16.1525,36.2032,29.64,20,16,2.46,SD,1683177046
340,kolokani,13.5728,-8.0339,29.98,38,52,2.38,ML,1683177046
341,toliara,-23.35,43.6667,20.99,68,0,4.83,MG,1683176807
342,saint-philippe,-21.3585,55.7679,25.06,82,68,4.45,RE,1683177047
343,nettetal,51.3167,6.2833,8.82,79,95,2.96,DE,1683177047
344,morehead city,34.7229,-76.726,13.33,59,0,5.66,US,1683176872
345,shiyan,32.6475,110.7781,27.16,56,80,1.34,CN,1683177047
346,mandera,3.9366,41.867,27.21,68,75,6.44,KE,1683177047
347,jodiya bandar,22.7167,70.2833,29.39,56,4,1.6,IN,1683176774
348,smithers,54.7804,-127.1743,13.18,50,0,3.6,CA,1683176513
349,camabatela,-8.1881,15.375,16.8,92,95,1.65,AO,1683177048
350,tonkino,57.3726,46.4629,7.98,78,100,2.05,RU,1683177048
351,kachug,53.9606,105.8817,10.19,31,54,0.92,RU,1683177048
352,enewetak,11.3474,162.3373,27.27,78,80,7.74,MH,1683177049
353,namibe,-15.1961,12.1522,23.19,78,1,1.82,AO,1683177049
354,hastings,50.8552,0.5729,11.07,36,100,7.12,GB,1683177049
355,nuku'alofa,-21.1333,-175.2,25.19,78,75,8.23,TO,1683177049
356,al jawf,29.5,38.75,23.53,19,1,7.67,SA,1683177049
357,ibimirim,-8.5406,-37.6903,21.04,92,3,1.53,BR,1683177049
358,tamanrasset,22.785,5.5228,18.95,14,0,1.03,DZ,1683177049
359,suining,30.508,105.5733,28.25,51,39,4.23,CN,1683177050
360,hotan,37.0997,79.9269,19.8,10,1,3.96,CN,1683177050
361,east porterville,36.0574,-118.9757,13.13,62,75,2.57,US,1683177050
362,pangody,65.85,74.4859,0.13,99,100,6.67,RU,1683177050
